Restaurant;Adresse;Rubrik;Preisspanne;Google_Maps;Website
Sasaya;Lychener Str. 50, 10437 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Sasaya%2C%20Lychener%20Str.%2050%2C%2010437%20Berlin;https://sasaya-berlin.de
Sathutu;Rykestraße 15, 10405 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Sathutu%2C%20Rykestra%C3%9Fe%2015%2C%2010405%20Berlin;
Schmidt Z & KO;Rheinstraße 45, 12161 Berlin;dinner, lunch;€€€;https://www.google.com/maps/search/?api=1&query=Schmidt%20Z%20%26%20KO%2C%20Rheinstra%C3%9Fe%2045%2C%2012161%20Berlin;
Schüsseldienst;Akazienstraße 7, 10823 Berlin;lunch;€;https://www.google.com/maps/search/?api=1&query=Sch%C3%BCsseldienst%2C%20Akazienstra%C3%9Fe%207%2C%2010823%20Berlin;
Sfera;Schudomastraße 44, 12055 Berlin;breakfast, lunch;€€;https://www.google.com/maps/search/?api=1&query=Sfera%2C%20Schudomastra%C3%9Fe%2044%2C%2012055%20Berlin;
Shaniu’s House of Noodles;Pariser Straße 58, 10719 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Shaniu%E2%80%99s%20House%20of%20Noodles%2C%20Pariser%20Stra%C3%9Fe%2058%2C%2010719%20Berlin;
Shōdo Udon Lab;Simon-Dach-Str. 41, 10245 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Sh%C5%8Ddo%20Udon%20Lab%2C%20Simon-Dach-Str.%2041%2C%2010245%20Berlin;
Smash’d Eatery x Forn SimSim;Husemannstraße 1, 10435 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Smash%E2%80%99d%20Eatery%20x%20Forn%20SimSim%2C%20Husemannstra%C3%9Fe%201%2C%2010435%20Berlin;
SOFI;Sophienstraße 21, 10178 Berlin;sweets, breakfast;€;https://www.google.com/maps/search/?api=1&query=SOFI%2C%20Sophienstra%C3%9Fe%2021%2C%2010178%20Berlin;
Soi & Co. Plant-Based Cafe;Linienstraße 205, 10119 Berlin;coffee, sweets;€;https://www.google.com/maps/search/?api=1&query=Soi%20%26%20Co.%20Plant-Based%20Cafe%2C%20Linienstra%C3%9Fe%20205%2C%2010119%20Berlin;
soopoollim;Ackerstraße 149, 10115 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=soopoollim%2C%20Ackerstra%C3%9Fe%20149%2C%2010115%20Berlin;
SORI Ramen;Wisbyer Str. 3, 10439 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=SORI%20Ramen%2C%20Wisbyer%20Str.%203%2C%2010439%20Berlin;
Sotto;Neue Hochstraße 25, 13347 Berlin;pizza;€€;https://www.google.com/maps/search/?api=1&query=Sotto%2C%20Neue%20Hochstra%C3%9Fe%2025%2C%2013347%20Berlin;
Spumante;Reichenberger Str. 73, 10999 Berlin;bistro;€;https://www.google.com/maps/search/?api=1&query=Spumante%2C%20Reichenberger%20Str.%2073%2C%2010999%20Berlin;
St. Bart;Graefestraße 71, 10967 Berlin;dinner, lunch;€€;https://www.google.com/maps/search/?api=1&query=St.%20Bart%2C%20Graefestra%C3%9Fe%2071%2C%2010967%20Berlin;
stoke;Lindenstraße 34-35, 10969 Berlin;dinner;€€€€;https://www.google.com/maps/search/?api=1&query=stoke%2C%20Lindenstra%C3%9Fe%2034-35%2C%2010969%20Berlin;
Story Coffee Rösterei P-Berg;Kollwitzstraße 37, 10405 Berlin;coffee;€;https://www.google.com/maps/search/?api=1&query=Story%20Coffee%20R%C3%B6sterei%20P-Berg%2C%20Kollwitzstra%C3%9Fe%2037%2C%2010405%20Berlin;
SWAY;Pannierstraße 29, 12047 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=SWAY%2C%20Pannierstra%C3%9Fe%2029%2C%2012047%20Berlin;
Tacos el Rey;Graefestraße 92, 10967 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Tacos%20el%20Rey%2C%20Graefestra%C3%9Fe%2092%2C%2010967%20Berlin;
Taktil;Nogatstr. 38, 12051 Berlin;sweets, breakfast;€;https://www.google.com/maps/search/?api=1&query=Taktil%2C%20Nogatstr.%2038%2C%2012051%20Berlin;
TAKUMI NINE 1;Pappelallee 19, 10437 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=TAKUMI%20NINE%201%2C%20Pappelallee%2019%2C%2010437%20Berlin;
Teller Berlin;Burgsdorfstraße 14, 13353 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Teller%20Berlin%2C%20Burgsdorfstra%C3%9Fe%2014%2C%2013353%20Berlin;
The Barn Café;Auguststr. 58, 10119 Berlin;coffee;€;https://www.google.com/maps/search/?api=1&query=The%20Barn%20Caf%C3%A9%2C%20Auguststr.%2058%2C%2010119%20Berlin;https://www.thebarn.de
The Butterfly Lovers;Marienstraße 30, 10117 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=The%20Butterfly%20Lovers%2C%20Marienstra%C3%9Fe%2030%2C%2010117%20Berlin;
The Grain;Gleimstraße 38, 10437 Berlin;pizza, dinner;€€;https://www.google.com/maps/search/?api=1&query=The%20Grain%2C%20Gleimstra%C3%9Fe%2038%2C%2010437%20Berlin;
Tribeca Ice Cream;Rykestr. 40, 10405 Berlin;sweets;€;https://www.google.com/maps/search/?api=1&query=Tribeca%20Ice%20Cream%2C%20Rykestr.%2040%2C%2010405%20Berlin;
Trio;Linienstraße 13, 10178 Berlin;dinner, lunch;€€€;https://www.google.com/maps/search/?api=1&query=Trio%2C%20Linienstra%C3%9Fe%2013%2C%2010178%20Berlin;
W Pizza Mitte;Invalidenstraße 112, 10115 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=W%20Pizza%20Mitte%2C%20Invalidenstra%C3%9Fe%20112%2C%2010115%20Berlin;
Weinhandlung Les Climats;Kottbusser Damm 7, 10967 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Weinhandlung%20Les%20Climats%2C%20Kottbusser%20Damm%207%2C%2010967%20Berlin;
Wen Cheng 1;Schönhauser Allee 65, 10437 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Wen%20Cheng%201%2C%20Sch%C3%B6nhauser%20Allee%2065%2C%2010437%20Berlin;
